nama_pintu_air,lokasi,latitude,longitude,tanggal,tinggi_air,status_siaga
"P.A. Hek","Kali Baru Timur",-6.287305,106.870630,"2021-12-02 17:50:00",1450,"Status : Normal"
"Bendung. Cibalok - Gadog",Ciliwung,-6.653417,106.869551,"2021-12-02 18:20:00",160,"Status : Normal"
"Bendung. Katulampa (Hulu)",Ciliwung,-6.633167,106.836806,"2021-12-02 18:20:00",190,"Status : Normal"
"PS. Depok",Ciliwung,-6.400514000,106.832143000,"2021-12-02 18:20:00",910,"Status : Normal"
"PA. Manggarai",Ciliwung,-6.207825,106.848458,"2021-12-02 18:20:00",6030,"Status : Normal"
"PS. Krukut Hulu",Krukut,-6.343900,106.798874,"2021-12-02 18:20:00",100,"Status : Normal"
"Pompa Cideng","Cideng Siantar",-6.173271,106.806351,"2021-12-02 18:20:00",760,"Status : Normal"
"P.A. Karet","Banjir Kanal Barat",-6.197901,106.810075,"2021-12-02 18:20:00",2600,"Status : Normal"
"P.A. Marina Ancol ",Laut,-6.125585,106.830154,"2021-12-02 18:20:00",1720,"Status : Siaga 3"
"Pompa Pasar Ikan",Laut,-6.126132,106.809783,"2021-12-02 18:20:00",1780,"Status : Siaga 3"
"Pompa. Pluit","Waduk Pluit",-6.109642,106.796954,"2021-12-02 18:20:00",-1920,"Status : Normal"
"PS. Pesanggrahan",Pesanggrahan,-6.397111000,106.771825000,"2021-12-02 18:20:00",580,"Status : Normal"
"PS. Angke Hulu",Angke,-6.220047,106.694137,"2021-12-02 18:20:00",500,"Status : Normal"
"PS. Sunter Hulu",Sunter,-6.317920000,106.920901000,"2021-12-02 18:20:00",1040,"Status : Normal"
"PA. Pulo Gadung",Sunter,-6.191,106.904194,"2021-12-02 18:20:00",3200,"Status : Normal"
"Pompa Yos Sudarso 1","Sunter Timur",-6.155547,106.885975,"2021-12-02 18:20:00",810,"Status : Normal"
"PS. Cipinang Hulu","Cipinang Hulu",-6.374264,106.883862,"2021-12-02 18:20:00",700,"Status : Normal"
"Pompa Kali Duri (Kalijodo)","Kali Duri",-6.142320,106.790390,"2021-12-02 18:10:00",1740,"Status : Normal"
"P.A. Istiqlal  ",Ciliwung,-6.168254,106.831350,"2021-12-02 18:20:00",1640,"Status : Normal"
"P.A. Jembatan Merah",Ciliwung,-6.149068,106.834214,"2021-12-02 18:20:00",980,"Status : Normal"
"P.A. Flusing Ancol",Ciliwung,-6.129859,106.831254,"2021-12-02 18:20:00",1670,"Status : Normal"
"P.A. Hek","Kali Baru Timur",-6.287305,106.870630,"2021-12-02 18:20:00",1450,"Status : Normal"
"Bendung. Cibalok - Gadog",Ciliwung,-6.653417,106.869551,"2021-12-02 18:50:00",170,"Status : Normal"
"Bendung. Katulampa (Hulu)",Ciliwung,-6.633167,106.836806,"2021-12-02 18:50:00",190,"Status : Normal"
"PS. Depok",Ciliwung,-6.400514000,106.832143000,"2021-12-02 18:50:00",910,"Status : Normal"
"PA. Manggarai",Ciliwung,-6.207825,106.848458,"2021-12-02 18:50:00",6000,"Status : Normal"
"PS. Krukut Hulu",Krukut,-6.343900,106.798874,"2021-12-02 18:50:00",100,"Status : Normal"
"Pompa Cideng","Cideng Siantar",-6.173271,106.806351,"2021-12-02 18:50:00",800,"Status : Normal"
"P.A. Karet","Banjir Kanal Barat",-6.197901,106.810075,"2021-12-02 18:50:00",2580,"Status : Normal"
"P.A. Marina Ancol ",Laut,-6.125585,106.830154,"2021-12-02 18:50:00",1730,"Status : Siaga 3"
"Pompa Pasar Ikan",Laut,-6.126132,106.809783,"2021-12-02 18:50:00",1790,"Status : Siaga 3"
"Pompa. Pluit","Waduk Pluit",-6.109642,106.796954,"2021-12-02 18:50:00",-1930,"Status : Normal"
"PS. Pesanggrahan",Pesanggrahan,-6.397111000,106.771825000,"2021-12-02 18:50:00",580,"Status : Normal"
"PS. Angke Hulu",Angke,-6.220047,106.694137,"2021-12-02 18:50:00",500,"Status : Normal"
"PS. Sunter Hulu",Sunter,-6.317920000,106.920901000,"2021-12-02 18:50:00",1040,"Status : Normal"
"PA. Pulo Gadung",Sunter,-6.191,106.904194,"2021-12-02 18:50:00",4850,"Status : Normal"
"Pompa Yos Sudarso 1","Sunter Timur",-6.155547,106.885975,"2021-12-02 18:50:00",820,"Status : Normal"
"PS. Cipinang Hulu","Cipinang Hulu",-6.374264,106.883862,"2021-12-02 18:50:00",710,"Status : Normal"
"Pompa Kali Duri (Kalijodo)","Kali Duri",-6.142320,106.790390,"2021-12-02 18:50:00",1740,"Status : Normal"
"P.A. Istiqlal  ",Ciliwung,-6.168254,106.831350,"2021-12-02 18:50:00",1650,"Status : Normal"
"P.A. Jembatan Merah",Ciliwung,-6.149068,106.834214,"2021-12-02 18:50:00",990,"Status : Normal"
"P.A. Flusing Ancol",Ciliwung,-6.129859,106.831254,"2021-12-02 18:50:00",1680,"Status : Normal"
"P.A. Hek","Kali Baru Timur",-6.287305,106.870630,"2021-12-02 18:50:00",1450,"Status : Normal"
"Bendung. Cibalok - Gadog",Ciliwung,-6.653417,106.869551,"2021-12-02 19:20:00",180,"Status : Normal"
"Bendung. Katulampa (Hulu)",Ciliwung,-6.633167,106.836806,"2021-12-02 19:20:00",190,"Status : Normal"
"PS. Depok",Ciliwung,-6.400514000,106.832143000,"2021-12-02 19:20:00",910,"Status : Normal"
"PA. Manggarai",Ciliwung,-6.207825,106.848458,"2021-12-02 19:20:00",6000,"Status : Normal"
"PS. Krukut Hulu",Krukut,-6.343900,106.798874,"2021-12-02 19:20:00",90,"Status : Normal"
"Pompa Cideng","Cideng Siantar",-6.173271,106.806351,"2021-12-02 19:20:00",810,"Status : Normal"
"P.A. Karet","Banjir Kanal Barat",-6.197901,106.810075,"2021-12-02 19:20:00",2570,"Status : Normal"
"P.A. Marina Ancol ",Laut,-6.125585,106.830154,"2021-12-02 19:20:00",1720,"Status : Siaga 3"
"Pompa Pasar Ikan",Laut,-6.126132,106.809783,"2021-12-02 19:20:00",1760,"Status : Siaga 3"
"Pompa. Pluit","Waduk Pluit",-6.109642,106.796954,"2021-12-02 19:20:00",-1950,"Status : Normal"
"PS. Pesanggrahan",Pesanggrahan,-6.397111000,106.771825000,"2021-12-02 19:20:00",580,"Status : Normal"
"PS. Angke Hulu",Angke,-6.220047,106.694137,"2021-12-02 19:20:00",500,"Status : Normal"
"PS. Sunter Hulu",Sunter,-6.317920000,106.920901000,"2021-12-02 19:20:00",1040,"Status : Normal"
"PA. Pulo Gadung",Sunter,-6.191,106.904194,"2021-12-02 19:20:00",4880,"Status : Normal"
"Pompa Yos Sudarso 1","Sunter Timur",-6.155547,106.885975,"2021-12-02 19:20:00",860,"Status : Normal"
"PS. Cipinang Hulu","Cipinang Hulu",-6.374264,106.883862,"2021-12-02 19:20:00",750,"Status : Normal"
"Pompa Kali Duri (Kalijodo)","Kali Duri",-6.142320,106.790390,"2021-12-02 19:20:00",1740,"Status : Normal"
"P.A. Istiqlal  ",Ciliwung,-6.168254,106.831350,"2021-12-02 19:20:00",1650,"Status : Normal"
"P.A. Jembatan Merah",Ciliwung,-6.149068,106.834214,"2021-12-02 19:20:00",1000,"Status : Normal"
"P.A. Flusing Ancol",Ciliwung,-6.129859,106.831254,"2021-12-02 19:20:00",1700,"Status : Normal"
"P.A. Hek","Kali Baru Timur",-6.287305,106.870630,"2021-12-02 19:20:00",1450,"Status : Normal"
"Bendung. Cibalok - Gadog",Ciliwung,-6.653417,106.869551,"2021-12-02 19:50:00",170,"Status : Normal"
"Bendung. Katulampa (Hulu)",Ciliwung,-6.633167,106.836806,"2021-12-02 19:50:00",190,"Status : Normal"
"PS. Depok",Ciliwung,-6.400514000,106.832143000,"2021-12-02 19:50:00",970,"Status : Normal"
"PA. Manggarai",Ciliwung,-6.207825,106.848458,"2021-12-02 19:50:00",6000,"Status : Normal"
"PS. Krukut Hulu",Krukut,-6.343900,106.798874,"2021-12-02 19:50:00",90,"Status : Normal"
"Pompa Cideng","Cideng Siantar",-6.173271,106.806351,"2021-12-02 19:50:00",770,"Status : Normal"
"P.A. Karet","Banjir Kanal Barat",-6.197901,106.810075,"2021-12-02 19:50:00",2590,"Status : Normal"
"P.A. Marina Ancol ",Laut,-6.125585,106.830154,"2021-12-02 19:50:00",1700,"Status : Siaga 3"
"Pompa Pasar Ikan",Laut,-6.126132,106.809783,"2021-12-02 19:40:00",1750,"Status : Siaga 3"
"Pompa. Pluit","Waduk Pluit",-6.109642,106.796954,"2021-12-02 19:50:00",-1970,"Status : Normal"
"PS. Pesanggrahan",Pesanggrahan,-6.397111000,106.771825000,"2021-12-02 19:50:00",580,"Status : Normal"
"PS. Angke Hulu",Angke,-6.220047,106.694137,"2021-12-02 19:50:00",500,"Status : Normal"
"PS. Sunter Hulu",Sunter,-6.317920000,106.920901000,"2021-12-02 19:50:00",1040,"Status : Normal"
"PA. Pulo Gadung",Sunter,-6.191,106.904194,"2021-12-02 19:50:00",4920,"Status : Normal"
"Pompa Yos Sudarso 1","Sunter Timur",-6.155547,106.885975,"2021-12-02 19:50:00",860,"Status : Normal"
"PS. Cipinang Hulu","Cipinang Hulu",-6.374264,106.883862,"2021-12-02 19:50:00",720,"Status : Normal"
"Pompa Kali Duri (Kalijodo)","Kali Duri",-6.142320,106.790390,"2021-12-02 19:50:00",1740,"Status : Normal"
"P.A. Istiqlal  ",Ciliwung,-6.168254,106.831350,"2021-12-02 19:50:00",1650,"Status : Normal"
"P.A. Jembatan Merah",Ciliwung,-6.149068,106.834214,"2021-12-02 19:50:00",1000,"Status : Normal"
"P.A. Flusing Ancol",Ciliwung,-6.129859,106.831254,"2021-12-02 19:40:00",1700,"Status : Normal"
"P.A. Hek","Kali Baru Timur",-6.287305,106.870630,"2021-12-02 19:50:00",1450,"Status : Normal"
"Bendung. Cibalok - Gadog",Ciliwung,-6.653417,106.869551,"2021-12-02 20:20:00",160,"Status : Normal"
"Bendung. Katulampa (Hulu)",Ciliwung,-6.633167,106.836806,"2021-12-02 20:20:00",200,"Status : Normal"
"PS. Depok",Ciliwung,-6.400514000,106.832143000,"2021-12-02 20:20:00",1100,"Status : Normal"
"PA. Manggarai",Ciliwung,-6.207825,106.848458,"2021-12-02 20:20:00",6010,"Status : Normal"
"PS. Krukut Hulu",Krukut,-6.343900,106.798874,"2021-12-02 20:20:00",90,"Status : Normal"
"Pompa Cideng","Cideng Siantar",-6.173271,106.806351,"2021-12-02 20:20:00",110,"Status : Normal"
"P.A. Karet","Banjir Kanal Barat",-6.197901,106.810075,"2021-12-02 20:20:00",2690,"Status : Normal"
"P.A. Marina Ancol ",Laut,-6.125585,106.830154,"2021-12-02 20:20:00",1670,"Status : Normal"
"Pompa Pasar Ikan",Laut,-6.126132,106.809783,"2021-12-02 20:20:00",1730,"Status : Siaga 3"
"Pompa. Pluit","Waduk Pluit",-6.109642,106.796954,"2021-12-02 20:20:00",-2000,"Status : Normal"
"PS. Pesanggrahan",Pesanggrahan,-6.397111000,106.771825000,"2021-12-02 20:20:00",580,"Status : Normal"
"PS. Angke Hulu",Angke,-6.220047,106.694137,"2021-12-02 20:20:00",500,"Status : Normal"
"PS. Sunter Hulu",Sunter,-6.317920000,106.920901000,"2021-12-02 20:20:00",1040,"Status : Normal"
"PA. Pulo Gadung",Sunter,-6.191,106.904194,"2021-12-02 20:20:00",4960,"Status : Normal"
"Pompa Yos Sudarso 1","Sunter Timur",-6.155547,106.885975,"2021-12-02 20:20:00",830,"Status : Normal"
"PS. Cipinang Hulu","Cipinang Hulu",-6.374264,106.883862,"2021-12-02 20:20:00",770,"Status : Normal"
"Pompa Kali Duri (Kalijodo)","Kali Duri",-6.142320,106.790390,"2021-12-02 20:20:00",1740,"Status : Normal"
"P.A. Istiqlal  ",Ciliwung,-6.168254,106.831350,"2021-12-02 20:20:00",1650,"Status : Normal"
"P.A. Jembatan Merah",Ciliwung,-6.149068,106.834214,"2021-12-02 20:20:00",1010,"Status : Normal"
"P.A. Flusing Ancol",Ciliwung,-6.129859,106.831254,"2021-12-02 20:20:00",1710,"Status : Normal"
"P.A. Hek","Kali Baru Timur",-6.287305,106.870630,"2021-12-02 20:20:00",1440,"Status : Normal"
"Bendung. Cibalok - Gadog",Ciliwung,-6.653417,106.869551,"2021-12-02 20:50:00",180,"Status : Normal"
"Bendung. Katulampa (Hulu)",Ciliwung,-6.633167,106.836806,"2021-12-02 20:50:00",190,"Status : Normal"
"PS. Depok",Ciliwung,-6.400514000,106.832143000,"2021-12-02 20:50:00",1120,"Status : Normal"
"PA. Manggarai",Ciliwung,-6.207825,106.848458,"2021-12-02 20:50:00",6000,"Status : Normal"
"PS. Krukut Hulu",Krukut,-6.343900,106.798874,"2021-12-02 20:50:00",90,"Status : Normal"
"Pompa Cideng","Cideng Siantar",-6.173271,106.806351,"2021-12-02 20:50:00",500,"Status : Normal"
"P.A. Karet","Banjir Kanal Barat",-6.197901,106.810075,"2021-12-02 20:50:00",2660,"Status : Normal"
"P.A. Marina Ancol ",Laut,-6.125585,106.830154,"2021-12-02 20:50:00",1700,"Status : Siaga 3"
"Pompa Pasar Ikan",Laut,-6.126132,106.809783,"2021-12-02 20:50:00",1790,"Status : Siaga 3"
"Pompa. Pluit","Waduk Pluit",-6.109642,106.796954,"2021-12-02 20:50:00",-2000,"Status : Normal"
"PS. Pesanggrahan",Pesanggrahan,-6.397111000,106.771825000,"2021-12-02 20:50:00",580,"Status : Normal"
"PS. Angke Hulu",Angke,-6.220047,106.694137,"2021-12-02 20:50:00",500,"Status : Normal"
"PS. Sunter Hulu",Sunter,-6.317920000,106.920901000,"2021-12-02 20:50:00",1040,"Status : Normal"
"PA. Pulo Gadung",Sunter,-6.191,106.904194,"2021-12-02 20:50:00",4990,"Status : Normal"
"Pompa Yos Sudarso 1","Sunter Timur",-6.155547,106.885975,"2021-12-02 20:50:00",800,"Status : Normal"
"PS. Cipinang Hulu","Cipinang Hulu",-6.374264,106.883862,"2021-12-02 20:50:00",730,"Status : Normal"
"Pompa Kali Duri (Kalijodo)","Kali Duri",-6.142320,106.790390,"2021-12-02 20:50:00",1740,"Status : Normal"
"P.A. Istiqlal  ",Ciliwung,-6.168254,106.831350,"2021-12-02 20:50:00",1630,"Status : Normal"
"P.A. Jembatan Merah",Ciliwung,-6.149068,106.834214,"2021-12-02 20:50:00",1020,"Status : Normal"
"P.A. Flusing Ancol",Ciliwung,-6.129859,106.831254,"2021-12-02 20:50:00",1720,"Status : Normal"
"P.A. Hek","Kali Baru Timur",-6.287305,106.870630,"2021-12-02 20:50:00",1440,"Status : Normal"
"Bendung. Cibalok - Gadog",Ciliwung,-6.653417,106.869551,"2021-12-02 21:20:00",180,"Status : Normal"
"Bendung. Katulampa (Hulu)",Ciliwung,-6.633167,106.836806,"2021-12-02 21:20:00",190,"Status : Normal"
"PS. Depok",Ciliwung,-6.400514000,106.832143000,"2021-12-02 21:20:00",1120,"Status : Normal"
"PA. Manggarai",Ciliwung,-6.207825,106.848458,"2021-12-02 21:20:00",6000,"Status : Normal"
"PS. Krukut Hulu",Krukut,-6.343900,106.798874,"2021-12-02 21:20:00",90,"Status : Normal"
"Pompa Cideng","Cideng Siantar",-6.173271,106.806351,"2021-12-02 21:20:00",530,"Status : Normal"
"P.A. Karet","Banjir Kanal Barat",-6.197901,106.810075,"2021-12-02 21:20:00",2630,"Status : Normal"
"P.A. Marina Ancol ",Laut,-6.125585,106.830154,"2021-12-02 21:20:00",1710,"Status : Siaga 3"
"Pompa Pasar Ikan",Laut,-6.126132,106.809783,"2021-12-02 21:20:00",1730,"Status : Siaga 3"
"Pompa. Pluit","Waduk Pluit",-6.109642,106.796954,"2021-12-02 21:20:00",-1990,"Status : Normal"
"PS. Pesanggrahan",Pesanggrahan,-6.397111000,106.771825000,"2021-12-02 21:20:00",580,"Status : Normal"
"PS. Angke Hulu",Angke,-6.220047,106.694137,"2021-12-02 21:20:00",500,"Status : Normal"
"PS. Sunter Hulu",Sunter,-6.317920000,106.920901000,"2021-12-02 21:20:00",1040,"Status : Normal"
"PA. Pulo Gadung",Sunter,-6.191,106.904194,"2021-12-02 21:20:00",5020,"Status : Normal"
"Pompa Yos Sudarso 1","Sunter Timur",-6.155547,106.885975,"2021-12-02 21:20:00",830,"Status : Normal"
"PS. Cipinang Hulu","Cipinang Hulu",-6.374264,106.883862,"2021-12-02 21:20:00",750,"Status : Normal"
"Pompa Kali Duri (Kalijodo)","Kali Duri",-6.142320,106.790390,"2021-12-02 21:20:00",1750,"Status : Normal"
"P.A. Istiqlal  ",Ciliwung,-6.168254,106.831350,"2021-12-02 21:20:00",1620,"Status : Normal"
"P.A. Jembatan Merah",Ciliwung,-6.149068,106.834214,"2021-12-02 21:20:00",1030,"Status : Normal"
"P.A. Flusing Ancol",Ciliwung,-6.129859,106.831254,"2021-12-02 21:20:00",1720,"Status : Normal"
"P.A. Hek","Kali Baru Timur",-6.287305,106.870630,"2021-12-02 21:20:00",1450,"Status : Normal"
"Bendung. Cibalok - Gadog",Ciliwung,-6.653417,106.869551,"2021-12-02 21:50:00",180,"Status : Normal"
"Bendung. Katulampa (Hulu)",Ciliwung,-6.633167,106.836806,"2021-12-02 21:50:00",190,"Status : Normal"
"PS. Depok",Ciliwung,-6.400514000,106.832143000,"2021-12-02 21:50:00",1070,"Status : Normal"
"PA. Manggarai",Ciliwung,-6.207825,106.848458,"2021-12-02 21:50:00",6000,"Status : Normal"
"PS. Krukut Hulu",Krukut,-6.343900,106.798874,"2021-12-02 21:50:00",90,"Status : Normal"
"Pompa Cideng","Cideng Siantar",-6.173271,106.806351,"2021-12-02 21:50:00",550,"Status : Normal"
"P.A. Karet","Banjir Kanal Barat",-6.197901,106.810075,"2021-12-02 21:50:00",2610,"Status : Normal"
"P.A. Marina Ancol ",Laut,-6.125585,106.830154,"2021-12-02 21:50:00",1700,"Status : Siaga 3"
"Pompa Pasar Ikan",Laut,-6.126132,106.809783,"2021-12-02 21:50:00",1810,"Status : Siaga 3"
"Pompa. Pluit","Waduk Pluit",-6.109642,106.796954,"2021-12-02 21:50:00",-1990,"Status : Normal"
"PS. Pesanggrahan",Pesanggrahan,-6.397111000,106.771825000,"2021-12-02 21:50:00",580,"Status : Normal"
"PS. Angke Hulu",Angke,-6.220047,106.694137,"2021-12-02 21:50:00",500,"Status : Normal"
"PS. Sunter Hulu",Sunter,-6.317920000,106.920901000,"2021-12-02 21:50:00",1040,"Status : Normal"
"PA. Pulo Gadung",Sunter,-6.191,106.904194,"2021-12-02 21:50:00",5050,"Status : Normal"
"Pompa Yos Sudarso 1","Sunter Timur",-6.155547,106.885975,"2021-12-02 21:50:00",840,"Status : Normal"
"PS. Cipinang Hulu","Cipinang Hulu",-6.374264,106.883862,"2021-12-02 21:50:00",750,"Status : Normal"
"Pompa Kali Duri (Kalijodo)","Kali Duri",-6.142320,106.790390,"2021-12-02 21:50:00",1750,"Status : Normal"
"P.A. Istiqlal  ",Ciliwung,-6.168254,106.831350,"2021-12-02 21:50:00",1620,"Status : Normal"
"P.A. Jembatan Merah",Ciliwung,-6.149068,106.834214,"2021-12-02 21:50:00",1030,"Status : Normal"
"P.A. Flusing Ancol",Ciliwung,-6.129859,106.831254,"2021-12-02 21:50:00",1730,"Status : Normal"
"P.A. Hek","Kali Baru Timur",-6.287305,106.870630,"2021-12-02 21:50:00",1470,"Status : Normal"
"Bendung. Cibalok - Gadog",Ciliwung,-6.653417,106.869551,"2021-12-02 22:20:00",180,"Status : Normal"
"Bendung. Katulampa (Hulu)",Ciliwung,-6.633167,106.836806,"2021-12-02 22:20:00",200,"Status : Normal"
"PS. Depok",Ciliwung,-6.400514000,106.832143000,"2021-12-02 22:20:00",1030,"Status : Normal"
"PA. Manggarai",Ciliwung,-6.207825,106.848458,"2021-12-02 22:20:00",6000,"Status : Normal"
"PS. Krukut Hulu",Krukut,-6.343900,106.798874,"2021-12-02 22:20:00",90,"Status : Normal"
"Pompa Cideng","Cideng Siantar",-6.173271,106.806351,"2021-12-02 22:20:00",570,"Status : Normal"
"P.A. Karet","Banjir Kanal Barat",-6.197901,106.810075,"2021-12-02 22:20:00",2600,"Status : Normal"
"P.A. Marina Ancol ",Laut,-6.125585,106.830154,"2021-12-02 22:20:00",1720,"Status : Siaga 3"
"Pompa Pasar Ikan",Laut,-6.126132,106.809783,"2021-12-02 22:20:00",1780,"Status : Siaga 3"
"Pompa. Pluit","Waduk Pluit",-6.109642,106.796954,"2021-12-02 22:20:00",-2000,"Status : Normal"
"PS. Pesanggrahan",Pesanggrahan,-6.397111000,106.771825000,"2021-12-02 22:20:00",580,"Status : Normal"
"PS. Angke Hulu",Angke,-6.220047,106.694137,"2021-12-02 22:20:00",500,"Status : Normal"
"PS. Sunter Hulu",Sunter,-6.317920000,106.920901000,"2021-12-02 22:20:00",1040,"Status : Normal"
"PA. Pulo Gadung",Sunter,-6.191,106.904194,"2021-12-02 22:20:00",5080,"Status : Normal"
"Pompa Yos Sudarso 1","Sunter Timur",-6.155547,106.885975,"2021-12-02 22:20:00",860,"Status : Normal"
"PS. Cipinang Hulu","Cipinang Hulu",-6.374264,106.883862,"2021-12-02 22:20:00",710,"Status : Normal"
"Pompa Kali Duri (Kalijodo)","Kali Duri",-6.142320,106.790390,"2021-12-02 22:20:00",1750,"Status : Normal"
"P.A. Istiqlal  ",Ciliwung,-6.168254,106.831350,"2021-12-02 22:20:00",1640,"Status : Normal"
"P.A. Jembatan Merah",Ciliwung,-6.149068,106.834214,"2021-12-02 22:10:00",1040,"Status : Normal"
"P.A. Flusing Ancol",Ciliwung,-6.129859,106.831254,"2021-12-02 22:20:00",1740,"Status : Normal"
"P.A. Hek","Kali Baru Timur",-6.287305,106.870630,"2021-12-02 22:20:00",1470,"Status : Normal"
"Bendung. Cibalok - Gadog",Ciliwung,-6.653417,106.869551,"2021-12-02 23:20:00",160,"Status : Normal"
"Bendung. Katulampa (Hulu)",Ciliwung,-6.633167,106.836806,"2021-12-02 23:20:00",190,"Status : Normal"
"PS. Depok",Ciliwung,-6.400514000,106.832143000,"2021-12-02 23:20:00",970,"Status : Normal"
"PA. Manggarai",Ciliwung,-6.207825,106.848458,"2021-12-02 23:20:00",5990,"Status : Normal"
"PS. Krukut Hulu",Krukut,-6.343900,106.798874,"2021-12-02 23:20:00",90,"Status : Normal"
"Pompa Cideng","Cideng Siantar",-6.173271,106.806351,"2021-12-02 23:20:00",580,"Status : Normal"
"P.A. Karet","Banjir Kanal Barat",-6.197901,106.810075,"2021-12-02 23:20:00",2590,"Status : Normal"
"P.A. Marina Ancol ",Laut,-6.125585,106.830154,"2021-12-02 23:20:00",1760,"Status : Siaga 3"
"Pompa Pasar Ikan",Laut,-6.126132,106.809783,"2021-12-02 22:50:00",1790,"Status : Siaga 3"
"Pompa. Pluit","Waduk Pluit",-6.109642,106.796954,"2021-12-02 23:20:00",-2000,"Status : Normal"
"PS. Pesanggrahan",Pesanggrahan,-6.397111000,106.771825000,"2021-12-02 23:20:00",600,"Status : Normal"
"PS. Angke Hulu",Angke,-6.220047,106.694137,"2021-12-02 23:20:00",500,"Status : Normal"
"PS. Sunter Hulu",Sunter,-6.317920000,106.920901000,"2021-12-02 23:20:00",1040,"Status : Normal"
"PA. Pulo Gadung",Sunter,-6.191,106.904194,"2021-12-02 23:20:00",5190,"Status : Normal"
"Pompa Yos Sudarso 1","Sunter Timur",-6.155547,106.885975,"2021-12-02 23:20:00",840,"Status : Normal"
"PS. Cipinang Hulu","Cipinang Hulu",-6.374264,106.883862,"2021-12-02 23:20:00",690,"Status : Normal"
"Pompa Kali Duri (Kalijodo)","Kali Duri",-6.142320,106.790390,"2021-12-02 23:20:00",1750,"Status : Normal"
"P.A. Istiqlal  ",Ciliwung,-6.168254,106.831350,"2021-12-02 23:20:00",1650,"Status : Normal"
"P.A. Jembatan Merah",Ciliwung,-6.149068,106.834214,"2021-12-02 23:20:00",1050,"Status : Normal"
"P.A. Flusing Ancol",Ciliwung,-6.129859,106.831254,"2021-12-02 23:20:00",1750,"Status : Normal"
"P.A. Hek","Kali Baru Timur",-6.287305,106.870630,"2021-12-02 23:20:00",1470,"Status : Normal"
"Bendung. Cibalok - Gadog",Ciliwung,-6.653417,106.869551,"2021-12-02 23:50:00",160,"Status : Normal"
"Bendung. Katulampa (Hulu)",Ciliwung,-6.633167,106.836806,"2021-12-02 23:50:00",190,"Status : Normal"
"PS. Depok",Ciliwung,-6.400514000,106.832143000,"2021-12-02 23:50:00",940,"Status : Normal"
"PA. Manggarai",Ciliwung,-6.207825,106.848458,"2021-12-02 23:50:00",5990,"Status : Normal"
"PS. Krukut Hulu",Krukut,-6.343900,106.798874,"2021-12-02 23:50:00",90,"Status : Normal"
"Pompa Cideng","Cideng Siantar",-6.173271,106.806351,"2021-12-02 23:50:00",590,"Status : Normal"
"P.A. Karet","Banjir Kanal Barat",-6.197901,106.810075,"2021-12-02 23:50:00",2590,"Status : Normal"
"P.A. Marina Ancol ",Laut,-6.125585,106.830154,"2021-12-02 23:50:00",1780,"Status : Siaga 3"
"Pompa Pasar Ikan",Laut,-6.126132,106.809783,"2021-12-02 23:50:00",1830,"Status : Siaga 3"
"Pompa. Pluit","Waduk Pluit",-6.109642,106.796954,"2021-12-02 23:50:00",-2010,"Status : Normal"
"PS. Pesanggrahan",Pesanggrahan,-6.397111000,106.771825000,"2021-12-02 23:50:00",620,"Status : Normal"
"PS. Angke Hulu",Angke,-6.220047,106.694137,"2021-12-02 23:50:00",500,"Status : Normal"
"PS. Sunter Hulu",Sunter,-6.317920000,106.920901000,"2021-12-02 23:50:00",1040,"Status : Normal"
"PA. Pulo Gadung",Sunter,-6.191,106.904194,"2021-12-02 23:50:00",5210,"Status : Normal"
"Pompa Yos Sudarso 1","Sunter Timur",-6.155547,106.885975,"2021-12-02 23:50:00",870,"Status : Normal"
"PS. Cipinang Hulu","Cipinang Hulu",-6.374264,106.883862,"2021-12-02 23:50:00",700,"Status : Normal"
"Pompa Kali Duri (Kalijodo)","Kali Duri",-6.142320,106.790390,"2021-12-02 23:50:00",1740,"Status : Normal"
"P.A. Istiqlal  ",Ciliwung,-6.168254,106.831350,"2021-12-02 23:50:00",1650,"Status : Normal"
"P.A. Jembatan Merah",Ciliwung,-6.149068,106.834214,"2021-12-02 23:50:00",1050,"Status : Normal"
"P.A. Flusing Ancol",Ciliwung,-6.129859,106.831254,"2021-12-02 23:50:00",1750,"Status : Normal"
"P.A. Hek","Kali Baru Timur",-6.287305,106.870630,"2021-12-02 23:50:00",1470,"Status : Normal"
"Bendung. Cibalok - Gadog",Ciliwung,-6.653417,106.869551,"2021-12-03 01:20:00",170,"Status : Normal"
"Bendung. Katulampa (Hulu)",Ciliwung,-6.633167,106.836806,"2021-12-03 01:20:00",190,"Status : Normal"
"PS. Depok",Ciliwung,-6.400514000,106.832143000,"2021-12-03 01:20:00",910,"Status : Normal"
"PA. Manggarai",Ciliwung,-6.207825,106.848458,"2021-12-03 01:20:00",5970,"Status : Normal"
"PS. Krukut Hulu",Krukut,-6.343900,106.798874,"2021-12-03 01:20:00",80,"Status : Normal"
"Pompa Cideng","Cideng Siantar",-6.173271,106.806351,"2021-12-03 01:20:00",630,"Status : Normal"
"P.A. Karet","Banjir Kanal Barat",-6.197901,106.810075,"2021-12-03 01:20:00",2580,"Status : Normal"
"P.A. Marina Ancol ",Laut,-6.125585,106.830154,"2021-12-03 01:20:00",1870,"Status : Siaga 3"
"Pompa Pasar Ikan",Laut,-6.126132,106.809783,"2021-12-03 01:20:00",1900,"Status : Siaga 3"
"Pompa. Pluit","Waduk Pluit",-6.109642,106.796954,"2021-12-03 01:20:00",-2020,"Status : Normal"
"PS. Pesanggrahan",Pesanggrahan,-6.397111000,106.771825000,"2021-12-03 01:20:00",650,"Status : Normal"
